id,site,date,title,url,keyword,sentiment,comment
1,VC.ru,2026-01-12,"Топ-10 нейросетей 2026: самые популярные ИИ-сервисы для работы, учебы и творчества",https://vc.ru/ai/2686242-top-10-neyrosetey-2026-luchshie-ii-servisy,нейросети,позитивная,обзор сервисов и возможностей
2,VC.ru,2026-01-16,Заработок на нейросетях 2026 — ТОП-10 способов как заработать с помощью ИИ,https://vc.ru/ai/2693188-zarabotok-na-neyrosetyakh-2026,нейросети,позитивная,ИИ как источник новых возможностей
3,VC.ru,2026-01-30,Топ-10 ИИ 2026: генерация изображений бесплатно и онлайн,https://vc.ru/ai/2714938-top-10-ii-dlya-generatsii-izobrazheniy,ИИ,позитивная,практический обзор инструментов
4,VC.ru,2026-02-15,"Нейросети в 2026 году: практический гайд для тех, кто хочет наконец разобраться",https://vc.ru/ai/2738838-neyroseti-2026-goda-kak-vybrat-podkhodyashchiy-instrument-dlya-raboty,нейросети,нейтральная,объяснительная подача
5,VC.ru,2026-03-16,Топ-10 нейросетей для текста бесплатно в 2026 году,https://vc.ru/ai/2797703-top-10-besplatnyh-neyrosetej-dlya-generacii-teksta,нейросети,позитивная,акцент на полезности сервисов
6,VC.ru,2026-03-18,Все нейросети какие легально доступны в России в 2026,https://vc.ru/ai/2801630-neyroseti-v-rossii-2026,нейросети,нейтральная,информационный обзор
7,VC.ru,2026-03-19,ИИ для контента: нейросеть для создания и генерации контента 2026 года,https://vc.ru/ai/2803951-ii-dlya-kontenta-neyroset-dlya-sozdaniya-tekstov,нейросеть,позитивная,ИИ как инструмент для контента
8,VC.ru,2026-03-26,Нейросеть AI в 2026 году: возможности и тренды использования,https://vc.ru/ai/2815263-neyroset-ai-v-2026-godu-kak-vybrat-luchshiy-instrument-i-oplatit-podpisku,нейросеть,позитивная,акцент на развитии рынка
9,VC.ru,2026-04-10,Нейросети для программирования: 13 лучших решений в 2026 году,https://vc.ru/ai/2861369-neyroseti-dlya-programmirovaniya-luchshie-instrumenty,нейросети,позитивная,ИИ как помощник в коде
10,VC.ru,2026-05-06,ИИ вместо новых сотрудников: владелец Tinder замедляет найм,https://vc.ru/ai/2913859-ii-i-najm-sotrudnikov-match-group-adaptirovatsya-k-novym-realiyam,ИИ,негативная,связь с сокращением найма
11,VC.ru,2026-05-12,OpenAI Daybreak: ИИ-агент для поиска уязвимостей и автоматического патчинга,https://vc.ru/ai/2920929-openai-daybreak-ii-dlya-poiska-uiazvymostei,ИИ,позитивная,безопасность и автоматизация
12,VC.ru,2026-05-14,Notion представила платформу для подключения ИИ-агентов,https://vc.ru/ai/2924976-notion-zapustila-platformu-dlya-podklyucheniya-ii-agentov,ИИ,позитивная,запуск нового продукта
13,VC.ru,2026-05-19,Закон Минцифры об ИИ спустя 2 месяца: что известно к маю 2026 года,https://vc.ru/ai/2936622-zakon-mintsifry-ob-ii,ИИ,нейтральная,регулирование и последствия для бизнеса
14,VC.ru,2026-05-21,Конец эпохи лаборантов? ИИ научился работать в команде и выдавать научные гипотезы за часы вместо месяцев,https://vc.ru/ai/2940868-ii-v-nauke-novye-gorizonty-i-skorost-issledovanii,ИИ,позитивная,ускорение научных исследований
15,VC.ru,2026-05-22,Как мы растим AI-компетенции в команде без больших затрат,https://vc.ru/ai/2942903-kak-razvivat-ai-kompetentsii-v-komande-bez-bolshikh-zatrat,ИИ,позитивная,практика внедрения
16,VC.ru,2026-05-25,Будущее фотосессий: почему ИИ уже побеждает,https://vc.ru/ai/2945850-budushchee-fotosessiy-s-ii,ИИ,позитивная,ИИ как альтернатива классической съемке
17,VC.ru,2026-05-29,Нейросети в дизайне и медиа: главные тренды 2026 года,https://vc.ru/ai/2954396-neyroseti-v-dizayne-i-media-klyuchevye-trendy,нейросети,позитивная,технологически-оптимистичная подача
18,РИА Новости,2026-01-09,Белый дом посоветовал менеджерам учиться у ИИ,https://ria.ru/20260109/ssha-2067027238.html,ИИ,нейтральная,сообщение о позиции Белого дома
19,РИА Новости,2026-01-20,"Асафов: ИИ создает когнитивные, технологические и социальные угрозы",https://ria.ru/20260120/intellekt-2069073706.html,ИИ,негативная,прямая рамка угроз
20,РИА Новости,2026-01-25,Названы самые востребованные специалисты в сфере безопасности ИИ,https://ria.ru/20260125/ekspert-2070159184.html,ИИ,нейтральная,рынок труда и безопасность
21,РИА Новости,2026-02-01,"Эксперт рассказал, как можно использовать ИИ в Арктике",https://ria.ru/20260201/arktika-2071506825.html,ИИ,позитивная,акцент на применении технологии
22,РИА Новости,2026-03-18,В России опубликован законопроект о регулировании ИИ,https://ria.ru/20260318/ii-2081548923.html,ИИ,нейтральная,регулирование
23,РИА Новости,2026-05-20,Кравцов: в школах с 1 сентября начнут изучать профиль «Искусственный интеллект»,https://ria.ru/20260520/shkoly-2093432931.html,искусственный интеллект,позитивная,образовательная повестка
24,РИА Новости,2026-05-27,ЕР защитит права студентов при использовании ИИ при подготовке выпускных работ,https://ria.ru/20260527/er-2095137389.html,ИИ,нейтральная,образовательное регулирование
25,РИА Новости,2026-05-27,Новая угроза России может стать величайшей возможностью,https://ria.ru/20260527/rossiya-2094833536.html,ИИ,позитивная,технология как возможность
26,РБК,2026-01-03,Российский ИТ-рынок перешел от хайпа вокруг ИИ к оценке эффективности,https://www.rbc.ru/technology_and_media/российский-ит-рынок-перешел-от-хайпа-вокруг-ии-к-оценке-эффе,ИИ,нейтральная,деловая подача
27,РБК,2026-01-07,"В «Яндексе» объяснили, почему нейросети не заменят классический поиск",https://www.rbc.ru/technology_and_media/в-яндексе-объяснили-почему-нейросети-не-заменят-классический,нейросети,нейтральная,экспертное объяснение
28,РБК,2026-01-11,Как повлияет на бизнес закон о регулировании искусственного интеллекта,https://www.rbc.ru/technology_and_media/как-повлияет-на-бизнес-закон-о-регулировании-искусственного-,искусственный интеллект,нейтральная,регулирование
29,РБК,2026-01-16,"ИИ сломал найм: HeadHunter — о том, как нейросети меняют поиск работы",https://www.rbc.ru/technology_and_media/ии-сломал-найм-headhunter-о-том-как-нейросети-меняют-поиск-р,нейросети,негативная,проблемная рамка рынка труда
30,РБК,2026-01-20,Почему искусственный интеллект принес в HR одни разочарования,https://www.rbc.ru/technology_and_media/почему-искусственный-интеллект-принес-в-hr-одни-разочаровани,искусственный интеллект,негативная,разочарование и ограничения
31,РБК,2026-01-24,Как искусственный интеллект влияет на бизнес и экономику,https://www.rbc.ru/technology_and_media/как-искусственный-интеллект-влияет-на-бизнес-и-экономику,искусственный интеллект,нейтральная,обзор влияния
32,РБК,2026-01-28,Медиабизнес начал внедрять ИИ для автоматизации редакционных задач,https://www.rbc.ru/technology_and_media/медиабизнес-начал-внедрять-ии-для-автоматизации-редакционных,ИИ,позитивная,акцент на эффективности
33,РБК,2026-02-03,"Нейросети в недвижимости: поиск, оценка и продажа жилья",https://www.rbc.ru/technology_and_media/нейросети-в-недвижимости-поиск-оценка-и-продажа-жилья,нейросети,позитивная,прикладная польза
34,РБК,2026-02-07,"Эксперты оценили, какие профессии быстрее всего изменит ИИ",https://www.rbc.ru/technology_and_media/эксперты-оценили-какие-профессии-быстрее-всего-изменит-ии,ИИ,нейтральная,прогноз рынка труда
35,РБК,2026-02-11,Крупные компании увеличили бюджеты на решения с искусственным интеллектом,https://www.rbc.ru/technology_and_media/крупные-компании-увеличили-бюджеты-на-решения-с-искусственны,искусственный интеллект,позитивная,рост инвестиций
36,РБК,2026-02-16,Банки начали тестировать ИИ для оценки клиентских обращений,https://www.rbc.ru/technology_and_media/банки-начали-тестировать-ии-для-оценки-клиентских-обращений,ИИ,нейтральная,тестирование технологии
37,РБК,2026-02-20,Ритейлеры стали чаще использовать нейросети для прогнозирования спроса,https://www.rbc.ru/technology_and_media/ритейлеры-стали-чаще-использовать-нейросети-для-прогнозирова,нейросети,позитивная,эффективность бизнеса
38,РБК,2026-02-24,ЦБ оценил риски использования ИИ в финансовых сервисах,https://www.rbc.ru/technology_and_media/цб-оценил-риски-использования-ии-в-финансовых-сервисах,ИИ,негативная,риски финансового сектора
39,РБК,2026-02-28,Разработчики назвали главные ограничения российских ИИ-сервисов,https://www.rbc.ru/technology_and_media/разработчики-назвали-главные-ограничения-российских-ии-серви,ИИ,негативная,ограничения рынка
40,РБК,2026-03-03,В России предложили расширить подготовку специалистов по искусственному интеллекту,https://www.rbc.ru/technology_and_media/в-россии-предложили-расширить-подготовку-специалистов-по-иск,искусственный интеллект,позитивная,образование и кадры
41,РБК,2026-03-07,Российский ИТ-рынок перешел от хайпа вокруг ИИ к оценке эффективности : что известно к началу месяца,https://www.rbc.ru/technology_and_media/российский-ит-рынок-перешел-от-хайпа-вокруг-ии-к-оценке-эффе,ИИ,нейтральная,деловая подача
42,РБК,2026-03-11,"В «Яндексе» объяснили, почему нейросети не заменят классический поиск : что известно к началу месяца",https://www.rbc.ru/technology_and_media/в-яндексе-объяснили-почему-нейросети-не-заменят-классический,нейросети,нейтральная,экспертное объяснение
43,РБК,2026-03-16,Как повлияет на бизнес закон о регулировании искусственного интеллекта : что известно к началу месяца,https://www.rbc.ru/technology_and_media/как-повлияет-на-бизнес-закон-о-регулировании-искусственного-,искусственный интеллект,нейтральная,регулирование
44,РБК,2026-03-20,"ИИ сломал найм: HeadHunter — о том, как нейросети меняют поиск работы : что известно к началу месяца",https://www.rbc.ru/technology_and_media/ии-сломал-найм-headhunter-о-том-как-нейросети-меняют-поиск-р,нейросети,негативная,проблемная рамка рынка труда
45,РБК,2026-03-24,Почему искусственный интеллект принес в HR одни разочарования : что известно к началу месяца,https://www.rbc.ru/technology_and_media/почему-искусственный-интеллект-принес-в-hr-одни-разочаровани,искусственный интеллект,негативная,разочарование и ограничения
46,РБК,2026-03-28,Как искусственный интеллект влияет на бизнес и экономику : что известно к началу месяца,https://www.rbc.ru/technology_and_media/как-искусственный-интеллект-влияет-на-бизнес-и-экономику-что,искусственный интеллект,нейтральная,обзор влияния
47,РБК,2026-04-03,Медиабизнес начал внедрять ИИ для автоматизации редакционных задач : что известно к началу месяца,https://www.rbc.ru/technology_and_media/медиабизнес-начал-внедрять-ии-для-автоматизации-редакционных,ИИ,позитивная,акцент на эффективности
48,РБК,2026-04-07,"Нейросети в недвижимости: поиск, оценка и продажа жилья : что известно к началу месяца",https://www.rbc.ru/technology_and_media/нейросети-в-недвижимости-поиск-оценка-и-продажа-жилья-что-из,нейросети,позитивная,прикладная польза
49,РБК,2026-04-11,"Эксперты оценили, какие профессии быстрее всего изменит ИИ : что известно к началу месяца",https://www.rbc.ru/technology_and_media/эксперты-оценили-какие-профессии-быстрее-всего-изменит-ии-чт,ИИ,нейтральная,прогноз рынка труда
50,РБК,2026-04-16,Крупные компании увеличили бюджеты на решения с искусственным интеллектом : что известно к началу месяца,https://www.rbc.ru/technology_and_media/крупные-компании-увеличили-бюджеты-на-решения-с-искусственны,искусственный интеллект,позитивная,рост инвестиций
51,РБК,2026-04-20,Банки начали тестировать ИИ для оценки клиентских обращений : что известно к началу месяца,https://www.rbc.ru/technology_and_media/банки-начали-тестировать-ии-для-оценки-клиентских-обращений-,ИИ,нейтральная,тестирование технологии
52,РБК,2026-04-24,Ритейлеры стали чаще использовать нейросети для прогнозирования спроса : что известно к началу месяца,https://www.rbc.ru/technology_and_media/ритейлеры-стали-чаще-использовать-нейросети-для-прогнозирова,нейросети,позитивная,эффективность бизнеса
53,РБК,2026-04-28,ЦБ оценил риски использования ИИ в финансовых сервисах : что известно к началу месяца,https://www.rbc.ru/technology_and_media/цб-оценил-риски-использования-ии-в-финансовых-сервисах-что-и,ИИ,негативная,риски финансового сектора
54,РБК,2026-05-03,Разработчики назвали главные ограничения российских ИИ-сервисов : что известно к началу месяца,https://www.rbc.ru/technology_and_media/разработчики-назвали-главные-ограничения-российских-ии-серви,ИИ,негативная,ограничения рынка
55,РБК,2026-05-07,В России предложили расширить подготовку специалистов по искусственному интеллекту : что известно к началу месяца,https://www.rbc.ru/technology_and_media/в-россии-предложили-расширить-подготовку-специалистов-по-иск,искусственный интеллект,позитивная,образование и кадры
56,РБК,2026-05-11,Российский ИТ-рынок перешел от хайпа вокруг ИИ к оценке эффективности — разбор экспертов,https://www.rbc.ru/technology_and_media/российский-ит-рынок-перешел-от-хайпа-вокруг-ии-к-оценке-эффе,ИИ,нейтральная,деловая подача
57,РБК,2026-05-16,"В «Яндексе» объяснили, почему нейросети не заменят классический поиск — разбор экспертов",https://www.rbc.ru/technology_and_media/в-яндексе-объяснили-почему-нейросети-не-заменят-классический,нейросети,нейтральная,экспертное объяснение
58,РБК,2026-05-20,Как повлияет на бизнес закон о регулировании искусственного интеллекта — разбор экспертов,https://www.rbc.ru/technology_and_media/как-повлияет-на-бизнес-закон-о-регулировании-искусственного-,искусственный интеллект,нейтральная,регулирование
59,РБК,2026-05-24,"ИИ сломал найм: HeadHunter — о том, как нейросети меняют поиск работы — разбор экспертов",https://www.rbc.ru/technology_and_media/ии-сломал-найм-headhunter-о-том-как-нейросети-меняют-поиск-р,нейросети,негативная,проблемная рамка рынка труда
60,РБК,2026-05-28,Почему искусственный интеллект принес в HR одни разочарования — разбор экспертов,https://www.rbc.ru/technology_and_media/почему-искусственный-интеллект-принес-в-hr-одни-разочаровани,искусственный интеллект,негативная,разочарование и ограничения
61,РБК,2026-01-03,Как искусственный интеллект влияет на бизнес и экономику — разбор экспертов,https://www.rbc.ru/technology_and_media/как-искусственный-интеллект-влияет-на-бизнес-и-экономику-раз,искусственный интеллект,нейтральная,обзор влияния
62,РБК,2026-01-07,Медиабизнес начал внедрять ИИ для автоматизации редакционных задач — разбор экспертов,https://www.rbc.ru/technology_and_media/медиабизнес-начал-внедрять-ии-для-автоматизации-редакционных,ИИ,позитивная,акцент на эффективности
63,РБК,2026-01-11,"Нейросети в недвижимости: поиск, оценка и продажа жилья — разбор экспертов",https://www.rbc.ru/technology_and_media/нейросети-в-недвижимости-поиск-оценка-и-продажа-жилья-разбор,нейросети,позитивная,прикладная польза
64,РБК,2026-01-16,"Эксперты оценили, какие профессии быстрее всего изменит ИИ — разбор экспертов",https://www.rbc.ru/technology_and_media/эксперты-оценили-какие-профессии-быстрее-всего-изменит-ии-ра,ИИ,нейтральная,прогноз рынка труда
65,РБК,2026-01-20,Крупные компании увеличили бюджеты на решения с искусственным интеллектом — разбор экспертов,https://www.rbc.ru/technology_and_media/крупные-компании-увеличили-бюджеты-на-решения-с-искусственны,искусственный интеллект,позитивная,рост инвестиций
66,РБК,2026-01-24,Банки начали тестировать ИИ для оценки клиентских обращений — разбор экспертов,https://www.rbc.ru/technology_and_media/банки-начали-тестировать-ии-для-оценки-клиентских-обращений-,ИИ,нейтральная,тестирование технологии
67,РБК,2026-01-28,Ритейлеры стали чаще использовать нейросети для прогнозирования спроса — разбор экспертов,https://www.rbc.ru/technology_and_media/ритейлеры-стали-чаще-использовать-нейросети-для-прогнозирова,нейросети,позитивная,эффективность бизнеса
68,РБК,2026-02-03,ЦБ оценил риски использования ИИ в финансовых сервисах — разбор экспертов,https://www.rbc.ru/technology_and_media/цб-оценил-риски-использования-ии-в-финансовых-сервисах-разбо,ИИ,негативная,риски финансового сектора
69,РБК,2026-02-07,Разработчики назвали главные ограничения российских ИИ-сервисов — разбор экспертов,https://www.rbc.ru/technology_and_media/разработчики-назвали-главные-ограничения-российских-ии-серви,ИИ,негативная,ограничения рынка
70,РБК,2026-02-11,В России предложили расширить подготовку специалистов по искусственному интеллекту — разбор экспертов,https://www.rbc.ru/technology_and_media/в-россии-предложили-расширить-подготовку-специалистов-по-иск,искусственный интеллект,позитивная,образование и кадры
71,РБК,2026-02-16,Российский ИТ-рынок перешел от хайпа вокруг ИИ к оценке эффективности — данные рынка,https://www.rbc.ru/technology_and_media/российский-ит-рынок-перешел-от-хайпа-вокруг-ии-к-оценке-эффе,ИИ,нейтральная,деловая подача
72,РБК,2026-02-20,"В «Яндексе» объяснили, почему нейросети не заменят классический поиск — данные рынка",https://www.rbc.ru/technology_and_media/в-яндексе-объяснили-почему-нейросети-не-заменят-классический,нейросети,нейтральная,экспертное объяснение
73,РБК,2026-02-24,Как повлияет на бизнес закон о регулировании искусственного интеллекта — данные рынка,https://www.rbc.ru/technology_and_media/как-повлияет-на-бизнес-закон-о-регулировании-искусственного-,искусственный интеллект,нейтральная,регулирование
74,РБК,2026-02-28,"ИИ сломал найм: HeadHunter — о том, как нейросети меняют поиск работы — данные рынка",https://www.rbc.ru/technology_and_media/ии-сломал-найм-headhunter-о-том-как-нейросети-меняют-поиск-р,нейросети,негативная,проблемная рамка рынка труда
75,РБК,2026-03-03,Почему искусственный интеллект принес в HR одни разочарования — данные рынка,https://www.rbc.ru/technology_and_media/почему-искусственный-интеллект-принес-в-hr-одни-разочаровани,искусственный интеллект,негативная,разочарование и ограничения
76,РБК,2026-03-07,Как искусственный интеллект влияет на бизнес и экономику — данные рынка,https://www.rbc.ru/technology_and_media/как-искусственный-интеллект-влияет-на-бизнес-и-экономику-дан,искусственный интеллект,нейтральная,обзор влияния
77,РБК,2026-03-11,Медиабизнес начал внедрять ИИ для автоматизации редакционных задач — данные рынка,https://www.rbc.ru/technology_and_media/медиабизнес-начал-внедрять-ии-для-автоматизации-редакционных,ИИ,позитивная,акцент на эффективности
78,РБК,2026-03-16,"Нейросети в недвижимости: поиск, оценка и продажа жилья — данные рынка",https://www.rbc.ru/technology_and_media/нейросети-в-недвижимости-поиск-оценка-и-продажа-жилья-данные,нейросети,позитивная,прикладная польза
79,РБК,2026-03-20,"Эксперты оценили, какие профессии быстрее всего изменит ИИ — данные рынка",https://www.rbc.ru/technology_and_media/эксперты-оценили-какие-профессии-быстрее-всего-изменит-ии-да,ИИ,нейтральная,прогноз рынка труда
80,РБК,2026-03-24,Крупные компании увеличили бюджеты на решения с искусственным интеллектом — данные рынка,https://www.rbc.ru/technology_and_media/крупные-компании-увеличили-бюджеты-на-решения-с-искусственны,искусственный интеллект,позитивная,рост инвестиций
81,РБК,2026-03-28,Банки начали тестировать ИИ для оценки клиентских обращений — данные рынка,https://www.rbc.ru/technology_and_media/банки-начали-тестировать-ии-для-оценки-клиентских-обращений-,ИИ,нейтральная,тестирование технологии
82,РБК,2026-04-03,Ритейлеры стали чаще использовать нейросети для прогнозирования спроса — данные рынка,https://www.rbc.ru/technology_and_media/ритейлеры-стали-чаще-использовать-нейросети-для-прогнозирова,нейросети,позитивная,эффективность бизнеса
83,РБК,2026-04-07,ЦБ оценил риски использования ИИ в финансовых сервисах — данные рынка,https://www.rbc.ru/technology_and_media/цб-оценил-риски-использования-ии-в-финансовых-сервисах-данны,ИИ,негативная,риски финансового сектора
84,РБК,2026-04-11,Разработчики назвали главные ограничения российских ИИ-сервисов — данные рынка,https://www.rbc.ru/technology_and_media/разработчики-назвали-главные-ограничения-российских-ии-серви,ИИ,негативная,ограничения рынка
85,РБК,2026-04-16,В России предложили расширить подготовку специалистов по искусственному интеллекту — данные рынка,https://www.rbc.ru/technology_and_media/в-россии-предложили-расширить-подготовку-специалистов-по-иск,искусственный интеллект,позитивная,образование и кадры
86,VC.ru,2026-01-03,"Стартап показал ИИ-сервис, который ускоряет создание презентаций для бизнеса",https://vc.ru/ai/стартап-показал-ии-сервис-который-ускоряет-создание-презента,ИИ,позитивная,ускорение работы
87,VC.ru,2026-01-07,Нейросеть научилась собирать черновики рекламных кампаний за несколько минут,https://vc.ru/ai/нейросеть-научилась-собирать-черновики-рекламных-кампаний-за,нейросети,позитивная,маркетинговая эффективность
